Produkt ID,Jednostka miary,Waga brutto,Waga netto,Jednostka wagi,Objetosc,Długosc,Szerokosc,Wysokosc,Indeks wymiar jednostka,Zawartosc,Zawartosc netto,Zawartosc brutto,Marka wlasna,OKRES_PRZYDATNOSCI_DNI,JEDNOSTKA_MIARY_MAGAZYN,LICZNIK_PRZELICZ_ZAWARTOSCI,MIANOWNIK_PRZELICZ_ZAWARTOSCI,PRZELICZNIK_ZAWARTOSCI,Liczba sztuk na palecie,Liczba sztuk w opakowaniu,Liczba sztuk w kartonie,Liczba sztuk w warstwie (palety),Cena zakupu,VAT
10001076,ST,0.04,0.04,KG,0.084,2.4,5,7,CM,,0,0,  ,1095,OPA,4,1,4,4320,4,288,0,XXX,XXX
10007796,ST,0.96,0.96,KG,1.283,7.5,7.5,22.8,CM,L,0.5,0.5,  ,120,OPA,20,1,20,900,20,20,0,XXX,XXX
10901810,ST,0.338,0.338,KG,0.571,7.7,4.1,18.1,CM,L,0.3,0.3,  ,900,OPA,1,1,1,1824,1,1,228,XXX,XXX
10902050,ST,0.452,0.452,KG,0.585,5,6,19.5,CM,KG,0.4,0.4,  ,210,OPA,6,1,6,1080,6,6,0,XXX,XXX
10902290,ST,0.735,0.735,KG,0.918,17,4.5,12,CM,L,0.33,0.33,  ,488,OPA,4,1,4,1200,4,4,120,XXX,XXX
10903730,ST,0.067,0.067,KG,0.847,22,7,5.5,CM,KG,0.055,0.055,  ,60,OPA,15,1,15,1440,15,15,0,XXX,XXX
10905650,ST,0.078,0.078,KG,0.161,1.7,6.9,13.7,CM,KG,0.07,0.07,  ,270,OPA,1,1,1,5760,1,18,0,XXX,XXX
10906130,KG,1,1,KG,8.179,21,13,0,CM,KG,1,1,  ,21,OPA,1,1,1,0,1,53,0,XXX,XXX
10914050,ST,0.15,0.15,KG,0.185,4.1,4.1,11,CM,L,0,0,  ,0,OPA,3,1,3,4500,3,30,2250,XXX,XXX
10914530,ST,0.087,0.087,KG,0.376,3.1,8.8,13.8,CM,KG,0.06,0.06,  ,365,OPA,16,1,16,3520,16,16,352,XXX,XXX
10914770,ST,0.072,0.073,KG,0.208,7.5,18.5,1.5,CM,KG,0.06,0.06,  ,360,OPA,20,1,20,3360,20,120,840,XXX,XXX
10916450,ST,0.28,0.28,KG,0.75,12.5,12.5,4.8,CM,KG,0.28,0.28,  ,42,OPA,1,1,1,1674,1,6,0,XXX,XXX
10916930,ST,0.04,0.04,KG,54.8,2,13.7,2,CM,KG,0.038,0.038,  ,730,OPA,20,1,20,20480,20,320,0,XXX,XXX
10917170,ST,2.095,2.11,KG,2860,8.8,12.5,26,CM,L,2,2,  ,365,OPA,6,1,6,384,6,6,96,XXX,XXX
10918850,ST,0.029,0.029,KG,0.109,5.5,2.3,8.6,CM,,0,0,  ,0,OPA,10,1,10,1000,10,500,500,XXX,XXX
10919090,ST,0.02,0.02,KG,0.212,1.6,9,14.7,CM,KG,0.019,0.019,  ,270,OPA,20,1,20,5760,20,240,2160,XXX,XXX
10919810,ST,0.501,0.51,KG,0.618,6.1,6.1,16.6,CM,L,0.3,0.3,  ,360,OPA,1,1,1,1512,1,12,216,XXX,XXX
10920050,ST,0.1,0.1,KG,1364.08,6.8,11.8,17,CM,L,0,0,  ,1825,OPA,1,1,1,540,1,1,108,XXX,XXX
10921490,ST,1.1,1.1,KG,1.952,8,8,30.5,CM,L,0.75,0.75,  ,0,OPA,6,1,6,630,6,6,120,XXX,XXX
10924130,KG,1,1,KG,3.75,10,15,25,CM,KG,1,1,  ,0,KG,1,1,1,0,,,,XXX,XXX
10924850,ST,0.047,0.047,KG,0.111,5.5,2.3,8.8,CM,,0,0,  ,0,OPA,5,1,5,5000,5,250,2500,XXX,XXX
10926290,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10926530,ST,0.875,0.875,KG,0.968,7.5,7.5,17.2,CM,KG,0.5,0.5,  ,365,OPA,6,1,6,798,6,6,114,XXX,XXX
10926770,KG,0,0,KG,0,0,0,0,,,0,0,  ,0,KG,1,1,1,0,,,,XXX,XXX
10927010,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10927250,KG,0,0,KG,0,0,0,0,,,0,0,  ,0,KG,1,1,1,0,,,,XXX,XXX
10927970,ST,0.087,0.07,KG,6.9,10,23,30,CM,KG,0.07,0.07,X ,180,OPA,15,1,15,480,15,15,60,XXX,XXX
10928450,KG,1,0,KG,0,0,0,0,,,0,0,  ,0,KG,1,1,1,0,,,,XXX,XXX
10929410,ST,0.591,0.61,KG,0.581,6.9,8.1,10.4,CM,KG,0.4,0.4,X ,1095,OPA,6,1,6,1296,6,6,144,XXX,XXX
10929890,ST,1.236,1.236,KG,1.772,7.5,7.5,31.5,CM,L,0.75,0.75,X ,0,OPA,6,1,6,600,6,6,150,XXX,XXX
10930130,ST,0.033,0.034,KG,0.08,0.5,10,16,CM,KG,0.03,0.03,  ,420,OPA,6,1,6,10800,6,36,1080,XXX,XXX
10930370,ST,0.22,0.22,KG,0.232,2.9,6.2,12.9,CM,L,0.1,0.1,  ,0,OPA,12,1,12,2592,12,96,864,XXX,XXX
10930610,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10931090,ST,0.187,0.187,KG,270.6,2.2,15,8.2,CM,KG,0.17,0.17,  ,1020,OPA,3,1,3,3780,3,3,210,XXX,XXX
10931330,ST,0.529,0.529,KG,0.442,9.5,30,9,CM,KG,0.5,0.5,  ,26,OPA,1,1,1,448,1,16,64,XXX,XXX
10931570,ST,0.434,0.434,KG,0.933,4.5,14.2,14.6,CM,KG,0.4,0.4,X ,90,OPA,8,1,8,640,8,8,128,XXX,XXX
10931810,ST,2.5,2.5,KG,8,20,20,20,CM,KG,2.5,2.5,  ,7,OPA,1,1,1,256,1,8,32,XXX,XXX
10932530,KG,1,1,KG,3.267,33,11,9,CM,KG,1,1,  ,12,KG,1,1,1,315,2,10,40,XXX,XXX
10933970,ST,0.471,0.471,KG,0.56,4,14,10,CM,KG,0.45,0.45,  ,730,OPA,2,1,2,2090,2,10,190,XXX,XXX
10934930,ST,0.025,0.025,KG,0,0,0,0,CM,KG,0.025,0.025,  ,0,ST,1,1,1,0,,,,XXX,XXX
10935650,ST,0.02,0.02,KG,0,0,0,0,CM,KG,0.02,0.02,  ,0,ST,1,1,1,0,,,,XXX,XXX
10935890,ST,0.1,0.1,KG,0,0,0,0,CM,KG,0.1,0.1,  ,0,ST,1,1,1,0,27,27,0,XXX,XXX
10936130,ST,0.1,0.1,KG,0.945,2,13.5,35,CM,KG,0,0,  ,0,ST,1,1,1,0,1,1,0,XXX,XXX
10936370,ST,0.05,0.05,KG,0.286,1,11,26,CM,KG,0,0,  ,0,ST,1,1,1,0,1,1,0,XXX,XXX
10936610,ST,0.228,0.26,KG,1.123,6.5,11,15.7,CM,KG,0.175,0.175,  ,180,OPA,1,1,1,560,1,8,112,XXX,XXX
10937090,ST,0.4,0.4,KG,0.576,6,8,12,CM,KG,0.4,0.4,  ,0,ST,1,1,1,0,6,6,0,XXX,XXX
10941650,ST,0.051,0.051,KG,0,0,0,0,CM,KG,0.051,0.051,  ,0,ST,1,1,1,0,,,,XXX,XXX
10942131,ST,0.1,0.1,KG,0,0,0,0,CM,KG,0.1,0.1,  ,0,ST,1,1,1,0,,,,XXX,XXX
10942371,ST,0.05,0.05,KG,0,0,0,0,CM,KG,0.05,0.05,  ,0,ST,1,1,1,0,,,,XXX,XXX
10943331,ST,0.4,0.4,KG,0,0,0,0,CM,KG,0.4,0.4,  ,0,ST,1,1,1,0,20,20,0,XXX,XXX
10943811,ST,0.15,0.15,KG,0,0,0,0,CM,L,0.15,0.15,  ,0,ST,1,1,1,0,,,,XXX,XXX
10944051,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
