antecedent,consequent,confidence,lift,id
"Napoje gazowane flavoured 0,6-1,4 L,Transportery",Piwo specjalne butelka,1.0,37.145161290322584,0
"Napoje gazowane flavoured 0,6-1,4 L,Piwo specjalne butelka",Transportery,1.0,13.16,1
"Piwo specjalne butelka,Piwo jasne mainstream butelka",Transportery,1.0,13.16,2
"Chipsy duże powyżej 101g,Piwo specjalne butelka",Transportery,1.0,13.16,3
"Piwo jasne premium butelka,Piwo specjalne butelka",Transportery,1.0,13.16,4
Piwo mocne butelka,Transportery,1.0,13.16,5
Piwo specjalne butelka,Transportery,0.9032258064516129,11.886451612903226,8589934592
"Piwo specjalne butelka,Piwo smakowe butelka",Transportery,0.9,11.844000000000001,17179869184
"Piwo jasne premium butelka,Transportery",Piwo specjalne butelka,0.75,27.858870967741936,25769803776
"Chrupki, prażynki małe do 50 g","Napoje energetyczne do 0,4 L",0.75,15.993055555555557,25769803777
Gin,"Napoje gazowane flavoured 0,6-1,4 L",0.75,69.09,25769803778
"Chipsy duże powyżej 101g,Piwo smakowe butelka",Transportery,0.6,7.896,34359738368
Tytoń,Piwo jasne ekonomiczne butelka,0.5714285714285714,17.31578947368421,42949672960
"Piwo smakowe butelka,Piwo jasne mainstream butelka",Transportery,0.5,6.58,51539607552
"Chipsy duże powyżej 101g,Transportery",Piwo specjalne butelka,0.5,18.572580645161292,51539607553
"Chipsy duże powyżej 101g,Transportery",Piwo smakowe butelka,0.5,14.762820512820513,51539607554
Bułka zwykła,Pieczywo REG,0.42857142857142855,23.5,60129542144
Piwo bezalkoholowe butelka,Transportery,0.4,5.264,68719476736
Chipsy średnie 51-100g,Piwo jasne mainstream butelka,0.375,9.813920454545455,77309411328
Piwo smakowe butelka,Transportery,0.3717948717948718,4.892820512820514,85899345920
Przekąski orzechowe,Transportery,0.3333333333333333,4.386666666666667,94489280512
Transportery,Piwo specjalne butelka,0.32,11.886451612903226,103079215104
"Piwo smakowe butelka,Transportery",Piwo specjalne butelka,0.3103448275862069,11.527808676307009,111669149696
Sery białe ziarniste,Piwo smakowe butelka,0.3076923076923077,9.084812623274162,120259084288
Jogurty pitne,Wafle impulsowe,0.3,9.212,128849018880
Jogurty pitne,Bułka zwykła odpiekana,0.3,7.941379310344827,128849018881
Słodycze impulsowe chłodnicze,Smoothies,0.3,69.08999999999999,128849018882
Smoothies,Słodycze impulsowe chłodnicze,0.3,69.08999999999999,128849018883
Serek,"Warzywa, owoce, rośliny REG",0.2727272727272727,5.6584766584766575,137438953472
Płatki,Bułka zwykła odpiekana,0.2727272727272727,7.219435736677115,137438953473
Płatki,Mleko świeże,0.2727272727272727,11.01913875598086,137438953474
Lokalne dzienniki,Ogólnopolskie dzienniki,0.26666666666666666,26.701449275362318,146028888064
Akcesoria tytoniowe,Transportery,0.2631578947368421,3.463157894736842,154618822656
Sery białe kanapkowe,Bułka zwykła odpiekana,0.2631578947368421,6.966122202056865,154618822657
Piwo jasne mainstream butelka,Transportery,0.26136363636363635,3.4395454545454545,163208757248
"Piwo jasne mainstream butelka,Transportery",Piwo specjalne butelka,0.2608695652173913,9.690042075736326,171798691840
Plastry,Bułka zwykła odpiekana,0.25,6.6178160919540225,180388626432
Sery żółte plastry,Plastry,0.2222222222222222,21.324074074074073,188978561024
Sery żółte plastry,Bułka zwykła odpiekana,0.2222222222222222,5.88250319284802,188978561025
Ogólnopolskie tygodniki,Ogólnopolskie dzienniki,0.21428571428571427,21.456521739130434,197568495616
Ogólnopolskie tygodniki,"Warzywa, owoce, rośliny REG",0.21428571428571427,4.445945945945946,197568495617
Piwo jasne ekonomiczne butelka,Transportery,0.21052631578947367,2.7705263157894735,206158430208
"Cukier, słodziki",Mleko świeże,0.2,8.080701754385965,214748364800
Reklamówki,Piwo jasne mainstream puszka,0.2,9.4,214748364801
Wafle ryżowe,"Warzywa, owoce, rośliny REG",0.19047619047619047,3.9519519519519517,223338299392
Parówki,Papierosy light,0.1875,2.4534801136363638,231928233984
"Wódki czyste mainstream do 0,2 L","Warzywa, owoce, rośliny REG",0.1875,3.8902027027027026,231928233985
"Soki i nektary do 0,5 L",Papierosy light,0.18181818181818182,2.3791322314049586,240518168576
"Zapalniczki, zapałki",Papierosy light,0.17647058823529413,2.309157754010695,249108103168
"Chrupki, prażynki średnie 51-100 g",Bułka zwykła odpiekana,0.17391304347826086,4.603698150924537,257698037760
"Piwo jasne mainstream butelka,Transportery",Piwo smakowe butelka,0.17391304347826086,5.1348940914158305,257698037761
