items,freq,id
Papierosy light,176,0
Transportery,175,1
"Warzywa, owoce, rośliny REG",111,8589934592
"Napoje energetyczne do 0,4 L",108,8589934593
Batony impulsowe,101,17179869184
Piwo jasne mainstream butelka,88,17179869185
Bułka zwykła odpiekana,87,25769803776
Piwo smakowe butelka,78,25769803777
Piwo jasne ekonomiczne butelka,76,34359738368
Wafle impulsowe,75,34359738369
Papierosy menthol,73,42949672960
Woda niegazowana powyżej 1 L,65,42949672961
Papierosy full flavor,63,51539607552
Piwo specjalne butelka,62,51539607553
Hot-dog,59,60129542144
Mleko świeże,57,60129542145
"Piwo specjalne butelka,Transportery",56,68719476736
Piwo jasne mainstream puszka,49,68719476737
Piwo jasne ekonomiczne puszka,47,77309411328
Papierosy super i ultra light,46,85899345920
Pieczywo REG,42,85899345921
Woda niegazowana do 1 L,42,85899345922
Chipsy duże powyżej 101g,41,94489280512
"Soki i nektary powyżej 0,5 L",41,94489280513
"Napoje gazowane typu cola do 0,6 L",38,103079215104
Czekolady małe,37,111669149696
"Napoje gazowane typu cola powyżej 1,4 L",37,111669149697
Doładowania elektroniczne,33,120259084288
"Napoje niegazowane do 0,5 L",32,120259084289
"Napoje gazowane typu cola 0,6-1,4 L",32,120259084290
"Wódki gatunkowe mainstream do 0,1 L",32,120259084291
Przekąski za 2 zł,30,128849018880
Woda gazowana powyżej 1 L,30,128849018881
"Piwo smakowe butelka,Transportery",29,137438953472
Kanapki świeże REG,29,137438953473
Gumy stiki,28,146028888064
Kawa z kawomatu,27,154618822656
Bułka gatunkowa odpiekana,26,163208757248
Dropsy impulsowe,26,163208757249
"Wódki gatunkowe ekonomiczne do 0,1 L",26,163208757250
"Napoje gazowane flavoured powyżej 1,4 L",26,163208757251
Jogurty naturalne,26,163208757252
Piwo jasne premium butelka,25,171798691840
"Napoje gazowane flavoured 0,6-1,4 L",25,171798691841
Mleko UHT,24,180388626432
"Napoje izotoniczne powyżej 0,5 L",24,180388626433
Ciastka nieczekoladowe,24,180388626434
"Napoje energetyczne powyżej 0,4 L",24,180388626435
Zupy chińskie,24,180388626436
Plastry,24,180388626437
"Piwo jasne mainstream butelka,Transportery",23,188978561024
Napoje witaminowe,23,188978561025
Kanapki długoterminowe,23,188978561026
"Wódki czyste ekonomiczne do 0,1 L",23,188978561027
Herbata mrożona do 1 L,23,188978561028
